Position Number,Applicant ID,Applicant Status,Internal/External Applicant,Sex,Disabled,Disab Vet,Race/Ethnicity,Mil Status
18529.0,41649417,Rejected; No Interview,External,Female,,,Asian,Not indicated
18529.0,41675910,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18529.0,42640184,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18529.0,51671428,Rejected; No Interview,External,Female,Y,N,White,Not a Veteran
18529.0,51743814,Rejected; Min Qualifications Not Met,External,Male,,,White,Not indicated
18529.0,71327431,Rejected; No Interview,External,Female,,,Asian,Not indicated
18529.0,78436800,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18529.0,89673091,Rejected; No Interview,External,Female,,,Asian,Not indicated
18529.0,92473066,Rejected; No Interview,External,Male,,,Hispanic/Latino,Not indicated
18529.0,94927046,Rejected; No Interview,External,Male,,,White,Not indicated
18538.0,17658893,Rejected; Interview,External,Female,,,White,Not indicated
18538.0,19192361,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18538.0,35759372,Rejected; No Interview,External,Male,,,White,Not indicated
18538.0,38150773,Rejected; No Interview,External,Male,N,N,Hispanic/Latino,Not a Veteran
18538.0,57193753,Rejected; No Interview,External,Male,N,N,Hispanic/Latino,Not a Veteran
18538.0,58732356,Rejected; Interview,External,Female,N,N,White,Not a Veteran
18538.0,64911821,Hired,External,Female,,,White,Not indicated
18538.0,69947805,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18538.0,72873175,Rejected; No Interview,External,Undeclared,N,N,White,Not a Veteran
18538.0,93166810,Rejected; No Interview,External,Male,N,N,Asian,Not a Veteran
18538.0,98537578,Rejected; No Interview,External,Female,Y,N,Black/African American,Not a Veteran
18566.0,10775323,Rejected; Interview,External,Female,,,White,Not indicated
18566.0,12236352,Rejected; Min Qualifications Not Met,External,Female,,,White,Not indicated
18566.0,32585196,Rejected; Min Qualifications Not Met,External,Male,N,N,White,Not a Veteran
18566.0,36436660,Rejected; No Interview,External,Female,,,Asian,Not indicated
18566.0,37103177,Rejected; No Interview,External,Female,N,N,White,Not a Veteran
18566.0,39140008,Rejected; No Interview,External,Male,N,N,White,Not a Veteran
18566.0,41518804,Rejected; No Interview,External,Female,Y,N,Hispanic/Latino,Not indicated
18566.0,49357186,Rejected; No Interview,External,Female,Y,N,White,Not indicated
18566.0,50413750,Rejected; No Interview,External,Male,,,White,Not indicated
